time_s,VM,VLEAK,VREF
0.939473398,0.992779667,0.99277969,0.993377468
0.939483398,0.992779667,0.99277969,0.993377468
0.939493398,0.992779667,0.99277969,0.993377468
0.939503398,0.992779667,0.99277969,0.993377468
0.939513398,0.992779667,0.99277969,0.993377468
0.939523398,0.992779667,0.99277969,0.993377468
0.939533398,0.992779667,0.99277969,0.993377468
0.939543398,0.992779667,0.99277969,0.993377468
0.939553398,0.992779667,0.99277969,0.993377468
0.939563398,0.992779667,0.99277969,0.993377468
0.939573398,0.992779667,0.99277969,0.993377468
0.939583398,0.992779667,0.99277969,0.993377468
0.939593398,0.992779667,0.99277969,0.993377468
0.939603398,0.992779667,0.99277969,0.993377468
0.939613398,0.992779667,0.99277969,0.993377468
0.939623398,0.992779667,0.99277969,0.993377468
0.939633398,0.992779667,0.99277969,0.993377468
0.939643398,0.992779667,0.99277969,0.993377468
0.939653398,0.992779667,0.99277969,0.993377468
0.939663398,0.992779667,0.99277969,0.993377468
0.939673398,0.992779667,0.99277969,0.993377468
0.939683398,0.992779667,0.99277969,0.993377468
0.939693398,0.992779667,0.99277969,0.993377468
0.939703398,0.992779667,0.99277969,0.993377468
0.939713398,0.992779667,0.99277969,0.993377468
0.939723398,0.992779667,0.99277969,0.993377468
0.939733398,0.992779667,0.99277969,0.993377468
0.939743398,0.992779667,0.99277969,0.993377468
0.939753398,0.992779667,0.99277969,0.993377468
0.939763398,0.992779667,0.99277969,0.993377468
0.939773398,0.992779667,0.99277969,0.993377468
0.939783398,0.992779667,0.99277969,0.993377468
0.939793398,0.992779667,0.99277969,0.993377468
0.939803398,0.992779667,0.99277969,0.993377468
0.939813398,0.992779667,0.99277969,0.993377468
0.939823398,0.992779667,0.99277969,0.993377468
0.939833398,0.992779667,0.99277969,0.993377468
0.939843398,0.992779667,0.99277969,0.993377468
0.939853398,0.992779667,0.99277969,0.993377468
0.939863398,0.992779667,0.99277969,0.993377468
0.939873398,0.992779667,0.99277969,0.993377468
0.939883398,0.992779667,0.99277969,0.993377468
0.939893398,0.992779667,0.99277969,0.993377468
0.939903398,0.992779667,0.99277969,0.993377468
0.939913398,0.992779667,0.99277969,0.993377468
0.939923398,0.992779667,0.99277969,0.993377468
0.939933398,0.992779667,0.99277969,0.993377468
0.939943398,0.992779667,0.99277969,0.993377468
0.939953398,0.992779667,0.99277969,0.993377468
0.939963398,0.992779667,0.99277969,0.993377468
0.939973398,0.992779667,0.99277969,0.993377468
0.939983398,0.992779667,0.99277969,0.993377468
0.939993398,0.992779667,0.99277969,0.993377468
0.940003398,0.992779667,0.99277969,0.993377468
0.940013398,0.992779667,0.99277969,0.993377468
0.940023398,0.992779667,0.99277969,0.993377468
